,City,Province,City_ID,Population 2021,Land Area (sqKM),Median_Income($),Unemployment_rate(%),Vehicles_sold_since_2017,Number_of_stations
598,Callander,Ontario,2021A00053549066,3964.0,102.98,41200.0,9.4,12.0,0.0
599,Calvin,Ontario,2021A00053548022,557.0,140.13,41200.0,9.4,2.0,0.0
600,Cambria No. 6,Saskatchewan,2021A00054702001,277.0,813.31,42400.0,7.0,0.0,0.0
601,Cambridge,Ontario,2021A00053530010,138479.0,112.99,41200.0,9.4,643.0,31.0
632,Campbell River,British Columbia,2021A00055924034,35519.0,144.38,40800.0,7.4,386.0,4.0
636,Campbell River 11,British Columbia,2021A00055924804,506.0,1.02,40800.0,7.4,5.0,0.0
638,Cana No. 214,Saskatchewan,2021A00054705073,904.0,813.42,42400.0,7.0,0.0,0.0
639,Canaan No. 225,Saskatchewan,2021A00054707058,145.0,549.95,42400.0,7.0,0.0,0.0
640,Canal Flats,British Columbia,2021A00055901043,802.0,11.07,40800.0,7.4,1.0,2.0
642,Candle Lake,Saskatchewan,2021A00054715070,1160.0,62.93,42400.0,7.0,0.0,0.0
645,Canim Lake 4,British Columbia,2021A00055941803,0.0,0.13,40800.0,7.4,0.0,0.0
646,Canoe Creek 1,British Columbia,2021A00055933814,56.0,0.7,40800.0,7.4,0.0,0.0
647,Canoe Creek 2,British Columbia,2021A00055933821,104.0,15.76,40800.0,7.4,0.0,0.0
648,Canoe Creek 3,British Columbia,2021A00055941804,0.0,28.03,40800.0,7.4,0.0,0.0
649,Canoe Lake 165,Saskatchewan,2021A00054718817,950.0,24.35,42400.0,7.0,0.0,0.0
650,Canora,Saskatchewan,2021A00054709032,2092.0,7.35,42400.0,7.0,1.0,0.0
651,Canupawakpa Dakota First Nation (Oak Lake 59),Manitoba,2021A00054606029,322.0,10.46,39200.0,7.6,0.0,0.0
652,Canwood,Saskatchewan,2021A00054716052,314.0,2.42,42400.0,7.0,0.0,0.0
653,Canwood No. 494,Saskatchewan,2021A00054716051,1351.0,1919.39,42400.0,7.0,0.0,0.0
654,Cape Mudge 10,British Columbia,2021A00055924817,145.0,4.94,40800.0,7.4,0.0,0.0
655,Capilano 5,British Columbia,2021A00055915808,2899.0,1.72,40800.0,7.4,31.0,0.0
656,Carberry,Manitoba,2021A00054607068,1818.0,4.8,39200.0,7.6,5.0,1.0
